Risk_ID,Risk_Category,Risk_Description,Probability,Impact_Days,Impact_Cost_R,Pre_Mitigation_Score,Mitigation_Strategy,Post_Mitigation_Score,Provision_Type,Provision_Amount_R,Contract_Risk_Owner,Notes
R001,Ground Conditions,Unknown buried services or obstructions in pipe trenches,Medium,5-10,50000-150000,High,Obtain as-built drawings; probe before excavating; contingency duration in programme,Medium,Global contingency 2%,90000,Shared (depends on CDI),
R002,Ground Conditions,Unstable or expansive soils under foundations,Low,10-20,100000-400000,Medium,Review geotechnical report; allow for ground improvement if CBR<5%,Low,Rate allowance in earthworks,50000,Contractor (if geotec provided),Sasol provided geotec report
R003,Weather,Rain disruption to earthworks (Nov-Mar rainy season),High,10-20,80000-200000,High,Programme earthworks for dry season; 10% weather allowance on earthworks duration,Medium,Duration allowance + P&G,120000,Contractor,Sasol site seasonal risk
R004,Procurement,Long-lead wellhead valves delayed (USD procurement),Medium,14-28,0 (delay only),High,Order at contract award; expedite monthly; hold USD provision,Low,Programme float on A080,0,Contractor,Activity A080 on critical path
R005,Procurement,Eskom external connection delayed (A970),High,14-35,200000-500000,High,Issue formal notification to client; potential EOT; Eskom schedule monitoring,Medium,EOT claim provision,250000,Employer (Eskom = 3rd party),A970 already 5 days behind per Speaking Progress
R006,Programme,De-mining takes longer than 70 days (additional UXO found),Low,10-30,150000-500000,Medium,UXO Provisional Sum in BOQ; advance written notice; EOT entitlement,Low,PS U-code in BOQ,350000,Employer (if UXO found),DM55 has 18 days free float as buffer
R007,Labour,Skilled welder shortage (6G coded) in region,Medium,7-14,50000-120000,High,Pre-engage coded welders; keep skills register; import if necessary,Medium,Rate premium allowance,75000,Contractor,Critical for pipe and steel activities
R008,Plant,Excavator breakdown during critical earthworks,Medium,3-7,30000-80000,High,Maintain standby excavator on call; hire company must have backup,Low,Insurance / maintenance,20000,Contractor,Hire agreement breakdown clause
R009,Design,Late issue of IFC drawings delays construction start,Medium,5-14,80000-200000,High,Track drawing register weekly; raise RFIs early; EOT notification,Medium,EOT claim provision,100000,Employer (design obligation),
R010,Safety,LTI on site — stop-work order (OHS Act),Low,3-14,100000-300000,High,Rigorous safety induction; daily toolbox talks; safety officer on site,Low,Safety budget (Z03001-Z03006),35000,Contractor (primary duty),
R011,Commercial,"Material price escalation (steel, fuel, concrete)",Medium,0,150000-400000,High,Price based on current rates; include escalation clause in sub-contracts; hedge fuel,Medium,3% escalation provision,200000,Contractor (if no CPAP clause),Check contract for price adjustment
R012,Commercial,Exchange rate movement on USD-priced valves,High,0,80000-250000,High,Apply 8% exchange rate risk provision on USD items; forward cover if possible,Medium,8% on USD items,160000,Contractor,USD=R18.70 at pricing; volatile
R013,Contract,Scope creep — unpriced variations,High,5-21,100000-500000,High,Rigorous variation order management; nothing done without written instruction,Medium,Contingency,150000,Employer (instruction) / Shared,
R014,Environmental,Unforeseen contamination discovered during excavation,Low,7-21,200000-1000000,Medium,Environmental PS in BOQ; notify client immediately; do not disturb,Low,PS in BOQ,500000,Employer (existing contamination),
R015,Programme,Festive season shutdown extends unexpectedly,Low,3-7,50000-100000,Low,Programme shutdown period correctly; use NBCCEI agreement dates,Low,Calendar allowance,0,Contractor,
